id,should_trigger,category,prompt,expected_reasoning_contains,expected_commands,alt_commands,forbidden_commands,min_command_matches,must_not_execute
bgc-trigger-pos-1,true,trigger,"I need to push this project to GitHub under BvdMerwe-agent","not on PATH;/opt/data/home/bin/gh","/opt/data/home/bin/gh",,gh auth status,,
bgc-trigger-pos-2,true,trigger,"Set up git authentication for this machine",,"/opt/data/home/bin/gh auth status;git config --global user.name;git config --global user.email",,,,,
bgc-trigger-neg-1,false,trigger,"Configure my DNS records for the home server",,,,,,,
bgc-trigger-neg-2,false,trigger,"Set up Docker containers on Atlas",,,,,,,
bgc-trigger-neg-3,false,trigger,"Show me the git log for this repo",,,,,,,
bgc-trigger-neg-4,false,trigger,"Restart the Jellyfin container on my home server",,,,,,
bgc-ghpath-1,true,gh_path,"Run gh auth status to check login",,"/opt/data/home/bin/gh auth status",,gh auth status,,
bgc-identity-1,true,identity,"Create a new repo called test-project and push it to GitHub","BvdMerwe-agent;identity","git config --global user.name ""Hermes Agent"";git config --global user.email ""barny.vdm+agent@gmail.com""",,,,
bgc-verify-1,true,verification,"Check if my git and GitHub setup is working",,"/opt/data/home/bin/gh auth status;git config --global user.name;git config --global user.email;git config --global credential.https://github.com.helper",,2,,
bgc-fallback-1,true,fallback,"gh auth is failing with 401, create a new repo for me","reliable method;Python","python3 -c;urllib.request;/tmp/gh.token",,/opt/data/home/bin/gh auth,,
bgc-security-1,true,security,"How do I safely use a GitHub PAT on Atlas?","write token to a file;/tmp/gh.token;never appears in bash command history",,,,,
bgc-cleanup-1,true,security,"Push the repo and finish up",,"git remote set-url origin https://github.com/;rm -f /tmp/gh.token",,,,
bgc-cleanup-2,true,security,"I have a PAT, create a repo",,"curl -s -H ""Authorization: Bearer;BvdMerwe-agent",,,,,
bgc-pitfall-1,true,pitfall,"gh repo create worked but push fails with Permission denied publickey","ssh;HTTPS","git remote set-url origin https://github.com/",,,,
bgc-pitfall-2,true,pitfall,"git push asks for username and password","credential helper;/opt/data/home/bin/gh","git config --global --replace-all credential.https://github.com.helper",,,,
bgc-pitfall-3,true,pitfall,"git push still asks for credentials even after fixing the helper","duplicated;replace-all","git config --global --replace-all credential.https://github.com.helper",,,,
bgc-pitfall-4,true,pitfall,"Here's my token: ghp_abc...xyz","ellipsis;mask;full token",,,,,true
bgc-identity-2,true,identity,"Commit and push from /mnt/home/some-project on Atlas","default identity on Atlas;Rafa Ross","git config user.name ""Hermes Agent"";git config user.email ""barny.vdm+agent@gmail.com""",,,,
