id,should_trigger,category,prompt,expected_reasoning_contains,expected_commands,alt_commands,forbidden_commands,min_command_matches,must_not_execute
grm-trigger-pos-1,true,trigger,"Clone the repo BvdMerwe-agent/vdM-menu-tracker",,,,,,
grm-trigger-pos-2,true,trigger,"Create a new GitHub repository for my project",,,,,,
grm-trigger-pos-3,true,trigger,"Show me my GitHub repos",,,,,,
grm-trigger-neg-1,false,trigger,"Configure my DNS records for the home server",,,,,,
grm-trigger-neg-2,false,trigger,"Set up Docker containers on Atlas",,,,,,
grm-trigger-neg-3,false,trigger,"Restart the Jellyfin container on my home server",,,,,,
grm-clone-1,true,clone,"Clone the repo BvdMerwe-agent/vdM-menu-tracker",,"git clone https://github.com/BvdMerwe-agent/vdM-menu-tracker.git","gh repo clone BvdMerwe-agent/vdM-menu-tracker",,,
grm-clone-2,true,clone,"Clone a large repo quickly without full history",,"--depth 1",,,,
grm-clone-3,true,clone,"Clone only the develop branch of owner/repo",,"--branch develop",,,,
grm-create-1,true,create,"Create a new public repo called my-project",,"gh repo create my-project --public","curl -s -X POST;\"name\": \"my-project\"",,,
grm-create-2,true,create,"Create a private repo called tool with MIT license",,"gh repo create tool --private --license MIT;\"license_template\": \"mit\";\"private\": true",,1,,
grm-create-3,true,create,"Turn /path/to/project into a GitHub repo and push it",,"gh repo create my-project --source . --push","git init;git add .;git commit;git remote add origin;git push -u origin",,,
grm-create-4,true,create,"Create a repo under my-org organization",,"my-org/;orgs/my-org/repos",,,,
grm-create-5,true,create,"Create a new app from the template owner/template-repo",,"gh repo create my-new-app --template owner/template-repo;/repos/owner/template-repo/generate",,1,,
grm-fork-1,true,fork,"Fork owner/repo-name to my account",,"git remote add upstream https://github.com/owner/repo-name.git","gh repo fork owner/repo-name --clone;/repos/owner/repo-name/forks",,,
grm-fork-2,true,fork,"Update my fork with changes from the original repo",,"git fetch upstream;git merge upstream/main","gh repo sync",,,
grm-info-1,true,info,"Show me info about owner/repo",,"gh repo view owner/repo;/repos/owner/repo",,1,,
grm-info-2,true,info,"List my GitHub repositories",,"gh repo list;/user/repos",,1,,
grm-info-3,true,info,"Find popular Python machine learning repos",,"search/repositories;language:python;sort=stars","gh search repos \"machine learning\" --language python --sort stars",,,
grm-settings-1,true,settings,"Update the description of my repo",,"gh repo edit --description;PATCH /repos/owner/repo;\"description\":",,1,,
grm-settings-2,true,settings,"Add topics machine-learning and python to my repo",,"gh repo edit --add-topic;mercy-preview;\"names\": [\"machine-learning\", \"python\"]",,,,
grm-branch-1,true,branch,"Require PR reviews and CI checks on main branch",,"/branches/main/protection;required_pull_request_reviews;required_status_checks",,,,
grm-secrets-1,true,secrets,"Show me the GitHub Actions secrets for this repo",,"gh secret list;/actions/secrets",,1,,
grm-secrets-2,true,secrets,"Add API_KEY as a GitHub secret",,"gh secret set API_KEY",,,,
grm-release-1,true,release,"Create release v1.0.0 with auto-generated notes",,"gh release create v1.0.0 --generate-notes;/releases;\"tag_name\": \"v1.0.0\"",,1,,
grm-release-2,true,release,"Show all releases for this repo",,"gh release list;/releases",,1,,
grm-workflow-1,true,workflow,"Show me the GitHub Actions workflows",,"gh workflow list;/actions/workflows",,1,,
grm-workflow-2,true,workflow,"Re-run the failed CI run 12345",,"gh run rerun 12345;/actions/runs/12345/rerun",,1,,
grm-workflow-3,true,workflow,"Manually run the deploy workflow on the main branch",,"gh workflow run deploy.yml --ref main;/actions/workflows/deploy.yml/dispatches;\"ref\": \"main\"",,1,,
grm-gist-1,true,gist,"Create a public gist from script.py",,"gh gist create script.py --public;/gists;\"public\": true",,1,,
grm-pitfall-1,true,pitfall,"gh repo create --source . --push failed with Permission denied publickey","ssh;HTTPS","git remote set-url origin https://github.com/",,,,
grm-pitfall-2,true,pitfall,"gh auth status shows not logged in",,"gh auth login","curl;GITHUB_TOKEN",,,
